alpha,dataset,defense,auc_noattack,auc_fedsdf,delta_auc
0.3,f-mnist,RFA,87.2015,26.0786,61.1229
0.3,mnist,RFA,96.4714,12.0337,84.4377
0.3,cifar,RoFL,65.8512,32.0778,33.7734
0.3,f-mnist,RoFL,87.6813,56.7125,30.9688
0.3,mnist,RoFL,97.0373,29.163,67.8743
0.3,cifar,Trimmed-mean,65.1387,27.2812,37.8575
0.3,f-mnist,Trimmed-mean,87.3082,62.864,24.4442
0.3,mnist,Trimmed-mean,96.7288,35.759,60.9698
0.5,cifar,Bulyan,62.6798,18.0716,44.6082
0.5,f-mnist,Bulyan,86.3539,32.3026,54.0513
0.5,mnist,Bulyan,96.0873,18.6333,77.454
0.5,cifar,CC,67.6619,32.2075,35.4544
0.5,f-mnist,CC,88.2659,67.8108,20.4551
0.5,mnist,CC,97.2716,33.5673,63.7043
0.5,cifar,FedAvg,66.8059,31.6259,35.18
0.5,f-mnist,FedAvg,88.0175,54.93,33.0875
0.5,mnist,FedAvg,97.36,27.7857,69.5743
0.5,cifar,Multi-Krum,62.8108,21.5978,41.213
0.5,f-mnist,Multi-Krum,87.7072,37.1881,50.5191
0.5,mnist,Multi-Krum,96.738,27.8689,68.8691
0.5,cifar,RFA,66.5713,12.8606,53.7107
0.5,f-mnist,RFA,87.9561,27.9121,60.044
0.5,mnist,RFA,96.9361,11.0154,85.9207
0.5,cifar,RoFL,66.5896,36.451,30.1386
0.5,f-mnist,RoFL,88.2641,47.316,40.9481
0.5,mnist,RoFL,97.3475,26.1593,71.1882
0.5,cifar,Trimmed-mean,65.3498,28.1782,37.1716
0.5,f-mnist,Trimmed-mean,87.627,71.0133,16.6137
0.5,mnist,Trimmed-mean,97.0052,41.0644,55.9408
0.7,cifar,Bulyan,63.4535,19.4377,44.0158
0.7,f-mnist,Bulyan,87.0061,40.7034,46.3027
0.7,mnist,Bulyan,96.5814,18.0666,78.5148
0.7,cifar,CC,67.5111,46.0404,21.4707
0.7,f-mnist,CC,88.6034,68.6409,19.9625
0.7,mnist,CC,97.4979,27.9166,69.5813
0.7,cifar,FedAvg,67.913,47.3954,20.5176
0.7,f-mnist,FedAvg,88.5315,70.2912,18.2403
0.7,mnist,FedAvg,97.5082,31.7326,65.7756
0.7,cifar,Multi-Krum,64.3965,28.4949,35.9016
0.7,f-mnist,Multi-Krum,87.6877,46.6132,41.0745
0.7,mnist,Multi-Krum,96.6701,26.4786,70.1915
0.7,cifar,RFA,65.4625,12.8906,52.5719
0.7,f-mnist,RFA,88.1731,27.5329,60.6402
0.7,mnist,RFA,97.3227,10.9581,86.3646
0.7,cifar,RoFL,67.3822,33.6625,33.7197
0.7,f-mnist,RoFL,88.4855,64.8024,23.6831
0.7,mnist,RoFL,97.4245,32.6924,64.7321
0.7,cifar,Trimmed-mean,67.679,40.5577,27.1213
0.7,f-mnist,Trimmed-mean,88.0037,61.7378,26.2659
0.7,mnist,Trimmed-mean,97.258,43.0444,54.2136
1.0,cifar,Bulyan,64.2474,19.7405,44.5069
1.0,f-mnist,Bulyan,87.4876,49.2965,38.1911
1.0,mnist,Bulyan,96.944,19.8622,77.0818
1.0,cifar,CC,66.8939,47.7002,19.1937
1.0,f-mnist,CC,88.8196,60.0824,28.7372
1.0,mnist,CC,97.5697,31.1489,66.4208
1.0,cifar,FedAvg,68.1021,45.7405,22.3616
1.0,f-mnist,FedAvg,88.8332,63.1855,25.6477
1.0,mnist,FedAvg,97.4772,30.4137,67.0635
1.0,cifar,Multi-Krum,64.8089,31.9804,32.8285
1.0,f-mnist,Multi-Krum,87.8388,45.6585,42.1803
1.0,mnist,Multi-Krum,96.9572,27.3273,69.6299
1.0,cifar,RFA,66.9509,13.0175,53.9334
1.0,f-mnist,RFA,88.428,25.568,62.86
1.0,mnist,RFA,97.2666,11.9032,85.3634
1.0,cifar,RoFL,67.8899,31.6077,36.2822
1.0,f-mnist,RoFL,88.6852,63.8526,24.8326
1.0,mnist,RoFL,97.4994,31.9306,65.5688
1.0,cifar,Trimmed-mean,67.8244,39.5237,28.3007
