dataset,defense,attack,epochs_used,auc_noattack,auc_attack,delta_auc_pp
mnist,FedAvg,LIE,40,98.19,84.2,13.99
mnist,FedAvg,MinMax,40,98.19,94.15,4.04
mnist,FedAvg,MinSum,40,98.19,96.33,1.86
mnist,FedAvg,PoisonedFL,40,98.19,69.23,28.96
mnist,Multi-Krum,Fang,40,97.75,97.9,-0.15
mnist,Multi-Krum,FedGhost,40,97.75,46.84,50.9
mnist,Multi-Krum,FedSDF,40,97.75,9.8,87.95
mnist,Multi-Krum,I-FMPA,40,97.75,81.01,16.74
mnist,Multi-Krum,LIE,40,97.75,9.8,87.95
mnist,Multi-Krum,MinMax,40,97.75,88.46,9.28
mnist,Multi-Krum,MinSum,40,97.75,92.82,4.93
mnist,Multi-Krum,PoisonedFL,40,97.75,96.62,1.13
mnist,RFA,Fang,40,97.89,96.98,0.91
mnist,RFA,FedGhost,40,97.89,93.15,4.73
mnist,RFA,FedSDF,40,97.89,9.8,88.09
mnist,RFA,I-FMPA,40,97.89,21.93,75.96
mnist,RFA,LIE,40,97.89,59.73,38.16
mnist,RFA,MinMax,40,97.89,96.6,1.29
mnist,RFA,MinSum,40,97.89,96.48,1.41
mnist,RFA,PoisonedFL,40,97.89,91.3,6.59
mnist,RoFL,Fang,40,98.21,47.34,50.87
mnist,RoFL,FedGhost,40,98.21,80.08,18.13
mnist,RoFL,FedSDF,40,98.21,9.8,88.41
mnist,RoFL,I-FMPA,40,98.21,96.0,2.22
mnist,RoFL,LIE,40,98.21,86.3,11.92
mnist,RoFL,MinMax,40,98.21,94.94,3.28
mnist,RoFL,MinSum,40,98.21,96.81,1.4
mnist,RoFL,PoisonedFL,40,98.21,38.38,59.84
mnist,Trimmed-mean,Fang,40,97.94,97.09,0.85
mnist,Trimmed-mean,FedGhost,40,97.94,96.62,1.31
mnist,Trimmed-mean,FedSDF,40,97.94,11.38,86.56
mnist,Trimmed-mean,I-FMPA,40,97.94,80.74,17.2
mnist,Trimmed-mean,LIE,40,97.94,16.51,81.43
mnist,Trimmed-mean,MinMax,40,97.94,94.59,3.35
mnist,Trimmed-mean,MinSum,40,97.94,95.66,2.27
mnist,Trimmed-mean,PoisonedFL,40,97.94,96.64,1.3
